Date,high,low,close,volume,open
2023-04-17,68.05000305175781,64.9000015258789,67.72000122070312,13344200,67.12000274658203
2023-04-18,71.79000091552734,66.55000305175781,67.26000213623047,14835500,70.38999938964844
2023-04-19,65.94000244140625,63.400001525878906,64.44000244140625,10327000,64.36000061035156
2023-04-20,65.33000183105469,60.16999816894531,60.5,11452900,63.22999954223633
2023-04-21,61.45000076293945,58.709999084472656,59.040000915527344,13235100,61.08000183105469
2023-04-24,59.09000015258789,54.08000183105469,54.75,21135700,58.959999084472656
2023-04-25,56.09000015258789,53.619998931884766,55.54999923706055,14383300,55.709999084472656
2023-04-26,59.5099983215332,53.599998474121094,53.88999938964844,16761200,59.5099983215332
2023-04-27,55.720001220703125,53.58000183105469,54.16999816894531,12010900,54.66999816894531
2023-04-28,54.52000045776367,52.16999816894531,53.790000915527344,11629800,53.650001525878906
2023-05-01,54.380001068115234,48.45000076293945,50.13999938964844,18437900,53.16999816894531
2023-05-02,52.13999938964844,48.2599983215332,51.31999969482422,16778400,50.20000076293945
2023-05-03,51.599998474121094,48.310001373291016,48.4900016784668,13325600,50.150001525878906
2023-05-04,50.470001220703125,47.650001525878906,49.220001220703125,13044400,48.720001220703125
2023-05-05,58.58000183105469,53.75,58.2400016784668,25551700,54.04999923706055
2023-05-08,58.79999923706055,54.61000061035156,58.099998474121094,15259400,55.900001525878906
2023-05-09,60.2400016784668,56.59000015258789,60.209999084472656,9641200,57.900001525878906
2023-05-10,63.75,59.88999938964844,62.63999938964844,15481300,61.45000076293945
2023-05-11,63.11000061035156,59.77000045776367,60.349998474121094,8843500,62.40999984741211
2023-05-12,61.130001068115234,56.77000045776367,57.34000015258789,9096200,60.88999938964844
2023-05-15,61.29999923706055,57.20000076293945,60.77000045776367,9429300,58.400001525878906
2023-05-16,60.11000061035156,57.13999938964844,57.880001068115234,7867900,58.68000030517578
2023-05-17,61.310001373291016,57.29999923706055,61.040000915527344,8998400,57.4900016784668
2023-05-18,61.70000076293945,58.599998474121094,60.2599983215332,8330300,60.470001220703125
2023-05-19,61.470001220703125,56.59000015258789,56.779998779296875,12474800,60.56999969482422
2023-05-22,61.099998474121094,55.900001525878906,61.06999969482422,12683400,56.88999938964844
2023-05-23,63.25,58.66999816894531,59.099998474121094,12208200,61.0
2023-05-24,58.970001220703125,56.599998474121094,58.36000061035156,8198300,57.779998779296875
2023-05-25,59.13999938964844,55.880001068115234,56.869998931884766,7997400,58.560001373291016
2023-05-26,58.90999984741211,56.630001068115234,56.91999816894531,7788100,56.86000061035156
2023-05-30,63.380001068115234,59.22999954223633,61.16999816894531,14814200,60.099998474121094
2023-05-31,62.59000015258789,59.209999084472656,62.20000076293945,10112600,59.29999923706055
2023-06-01,66.36000061035156,60.66999816894531,63.56999969482422,11729000,61.79999923706055
2023-06-02,65.22000122070312,62.0,64.55000305175781,8599200,65.11000061035156
2023-06-05,64.44000244140625,55.810001373291016,58.709999084472656,26413200,63.380001068115234
2023-06-06,52.380001068115234,46.43000030517578,51.61000061035156,56259900,47.099998474121094
2023-06-07,54.0,51.70000076293945,53.2599983215332,18905500,53.290000915527344
2023-06-08,55.04999923706055,51.959999084472656,54.900001525878906,12773600,52.209999084472656
2023-06-09,57.41999816894531,52.47999954223633,53.279998779296875,14365000,55.0
2023-06-12,52.93000030517578,50.099998474121094,50.560001373291016,12447200,52.529998779296875
2023-06-13,52.65999984741211,50.52000045776367,52.400001525878906,11560800,51.79999923706055
2023-06-14,54.790000915527344,51.560001373291016,53.900001525878906,11241200,52.810001373291016
2023-06-15,54.58000183105469,50.93000030517578,54.25,11801700,52.709999084472656
2023-06-16,56.279998779296875,53.900001525878906,55.59000015258789,13726100,55.40999984741211
2023-06-20,57.939998626708984,53.630001068115234,57.09000015258789,14143500,55.900001525878906
2023-06-21,59.2400016784668,56.81999969482422,58.099998474121094,20569700,58.900001525878906
2023-06-22,59.279998779296875,55.099998474121094,57.4900016784668,12837400,58.97999954223633
2023-06-23,61.88999938964844,55.75,61.470001220703125,26042300,56.849998474121094
2023-06-26,66.16000366210938,61.0,61.939998626708984,20724100,61.099998474121094
2023-06-27,70.37000274658203,62.84000015258789,69.88999938964844,25447400,63.79999923706055
2023-06-28,74.30999755859375,69.0,70.75,23086200,69.0
2023-06-29,74.18000030517578,70.83000183105469,72.43000030517578,14730500,72.02999877929688
2023-06-30,74.97000122070312,68.1500015258789,71.55000305175781,24558900,73.80000305175781
2023-07-03,80.8499984741211,73.01000213623047,79.93000030517578,19891700,73.19999694824219
2023-07-05,79.93000030517578,76.16000366210938,78.3499984741211,14670000,76.9000015258789
2023-07-06,78.45999908447266,74.5199966430664,78.0999984741211,11110400,78.05000305175781
2023-07-07,81.19000244140625,77.62000274658203,78.72000122070312,13254500,78.1500015258789
2023-07-10,81.37000274658203,76.55000305175781,81.20999908447266,10739700,79.08000183105469
2023-07-11,92.1500015258789,80.48999786376953,89.1500015258789,35672100,80.48999786376953
